Class,index_A,index_B,normalized_index_A,normalized_index_B,largest_index,smallest_index,avg_index,atomic_weight_weighted_A+B,atomic_weight_A/B,atomic_weight_A-B,period_A,period_B,group_A,group_B,group_A-B,Mendeleev_number_A,Mendeleev_number_B,Mendeleev_number_A-B,valencee_total_A,valencee_total_B,valencee_total_A-B,valencee_total_A+B,valencee_total_weighted_A+B,valencee_total_weighted_norm_A+B,unpaired_electrons_A,unpaired_electrons_B,unpaired_electrons_A-B,unpaired_electrons_A+B,unpaired_electrons_weighted_A+B,unpaired_electrons_weighted_norm_A+B,Gilman_A,Gilman_B,Gilman_A-B,Gilman_A+B,Gilman_weighted_A+B,Gilman_weighted_norm_A+B,Z_eff_A,Z_eff_B,Z_eff_A-B,Z_eff_A/B,Z_eff_max,Z_eff_min,Z_eff_avg,Z_eff_weighted_norm_A+B,ionization_energy_A,ionization_energy_B,ionization_energy_A-B,ionization_energy_A/B,ionization_energy_max,ionization_energy_min,ionization_energy_avg,ionization_energy_weighted_norm_A+B,coordination_number_A,coordination_number_B,coordination_number_A-B,ratio_closest_A,ratio_closest_B,ratio_closest_max,ratio_closest_min,ratio_closest_avg,polyhedron_distortion_A,polyhedron_distortion_B,polyhedron_distortion_max,polyhedron_distortion_min,polyhedron_distortion_avg,CIF_radius_A,CIF_radius_B,CIF_radius_A/B,CIF_radius_A-B,CIF_radius_avg,CIF_radius_weighted_norm_A+B,Pauling_radius_CN12_A,Pauling_radius_CN12_B,Pauling_radius_CN12_A/B,Pauling_radius_CN12_A-B,Pauling_radius_CN12_avg,Pauling_radius_CN12_weighted_norm_A+B,Pauling_EN_A,Pauling_EN_B,Pauling_EN_A-B,Pauling_EN_A/B,Pauling_EN_max,Pauling_EN_min,Pauling_EN_avg,Pauling_EN_weighted_norm_A+B,Martynov_Batsanov_EN_A,Martynov_Batsanov_EN_B,Martynov_Batsanov_EN_A-B,Martynov_Batsanov_EN_A/B,Martynov_Batsanov_EN_max,Martynov_Batsanov_EN_min,Martynov_Batsanov_EN_avg,Martynov_Batsanov_EN_weighted_norm_A+B,melting_point_K_A,melting_point_K_B,melting_point_K_A-B,melting_point_K_A/B,melting_point_K_max,melting_point_K_min,melting_point_K_avg,melting_point_K_weighted_norm_A+B,density_A,density_B,density_A-B,density_A/B,density_max,density_min,density_avg,density_weighted_norm_A+B,specific_heat_A,specific_heat_B,specific_heat_A-B,specific_heat_A/B,specific_heat_max,specific_heat_min,specific_heat_avg,specific_heat_weighted_norm_A+B,cohesive_energy_A,cohesive_energy_B,cohesive_energy_A-B,cohesive_energy_A/B,cohesive_energy_max,cohesive_energy_min,cohesive_energy_avg,cohesive_energy_weighted_norm_A+B,bulk_modulus_A,bulk_modulus_B,bulk_modulus_A-B,bulk_modulus_A/B,bulk_modulus_max,bulk_modulus_min,bulk_modulus_avg,bulk_modulus_weighted_norm_A+B
1,1,1,0.5,0.5,1,1,1,107.868,4.438,83.563,5,3,11,2,9,65,68,-3,11,2,9,13,11,5.5,1,0,1,1,1,0.5,2,2,0,4,2,1,3.73,2.248,1.482,1.659,3.73,2.248,2.989,1.865,7.576,7.646,-0.07,0.991,7.646,7.576,7.611,3.788,12,12,0,1,0.417,1,0.417,0.708,1,0.995,1,0.995,0.998,1.443,1.587,0.909,-0.144,1.515,0.722,1.442,1.598,0.902,-0.156,1.52,0.721,1.93,1.31,0.62,1.473,1.93,1.31,1.62,0.965,1.07,1.31,-0.24,0.817,1.31,1.07,1.19,0.535,1235.15,922.15,313,1.339,1235.15,922.15,1078.65,617.575,10.5,1.74,8.76,6.034,10.5,1.74,6.12,5.25,0.235,1.02,-0.785,0.23,1.02,0.235,0.628,0.118,2.95,1.51,1.44,1.954,2.95,1.51,2.23,1.475,104,35.6,68.4,2.921,104,35.6,69.8,52
1,1,1,0.5,0.5,1,1,1,58.693,2.175,31.712,4,3,10,13,-3,61,73,-12,10,3,7,13,10,5,2,1,1,3,2,1,3,3,0,6,3,1.5,2.996,1.989,1.007,1.506,2.996,1.989,2.492,1.498,7.64,5.986,1.654,1.276,7.64,5.986,6.813,3.82,12,12,0,1,1,1,1,1,1,1,1,1,1,1.246,1.31,0.951,-0.064,1.278,0.623,1.244,1.429,0.871,-0.185,1.336,0.622,1.91,1.61,0.3,1.186,1.91,1.61,1.76,0.955,1.76,1.64,0.12,1.073,1.76,1.64,1.7,0.88,1726.15,933.15,793,1.85,1726.15,933.15,1329.65,863.075,8.9,2.7,6.2,3.296,8.9,2.7,5.8,4.45,0.44,0.9,-0.46,0.489,0.9,0.44,0.67,0.22,4.44,3.39,1.05,1.31,4.44,3.39,3.915,2.22,177,75.2,101.8,2.354,177,75.2,126.1,88.5
1,1,1,0.5,0.5,1,1,1,196.967,3.013,131.587,6,4,11,12,-1,66,69,-3,25,12,13,37,25,12.5,1,0,1,1,1,0.5,2,1,1,3,2,1,4.938,3.322,1.616,1.486,4.938,3.322,4.13,2.469,9.226,9.394,-0.169,0.982,9.394,9.226,9.31,4.613,12,12,0,1,0.5,1,0.5,0.75,1,0.922,1,0.922,0.961,1.435,1.333,1.077,0.102,1.384,0.718,1.439,1.379,1.044,0.06,1.409,0.72,2.54,1.65,0.89,1.539,2.54,1.65,2.095,1.27,1.19,1.44,-0.25,0.826,1.44,1.19,1.315,0.595,1337.15,692.75,644.4,1.93,1337.15,692.75,1014.95,668.575,19.3,7.13,12.17,2.707,19.3,7.13,13.215,9.65,0.128,0.39,-0.262,0.328,0.39,0.128,0.259,0.064,3.81,1.35,2.46,2.822,3.81,1.35,2.58,1.905,171,69.4,101.6,2.464,171,69.4,120.2,85.5
1,1,1,0.5,0.5,1,1,1,204.383,0.978,-4.597,6,6,13,15,-2,76,86,-10,27,29,-2,56,27,13.5,1,3,-2,4,1,0.5,3,5,-2,8,3,1.5,4.07,4.389,-0.319,0.927,4.389,4.07,4.23,2.035,6.108,7.286,-1.177,0.838,7.286,6.108,6.697,3.054,12,6,6,0.5,0.5,0.5,0.5,0.5,0.986,0.871,0.986,0.871,0.928,1.663,1.53,1.087,0.133,1.596,0.832,1.712,1.7,1.007,0.012,1.706,0.856,1.62,2.02,-0.4,0.802,2.02,1.62,1.82,0.81,1.69,2.14,-0.45,0.79,2.14,1.69,1.915,0.845,576.15,544.15,32,1.059,576.15,544.15,560.15,288.075,11.9,9.75,2.15,1.221,11.9,9.75,10.825,5.95,0.13,0.12,0.01,1.083,0.13,0.12,0.125,0.065,1.88,2.18,-0.3,0.862,2.18,1.88,2.03,0.94,28.5,31.5,-3,0.905,31.5,28.5,30,14.25
1,1,1,0.5,0.5,1,1,1,204.383,1.679,82.623,6,5,13,15,-2,76,85,-9,27,15,12,42,27,13.5,1,3,-2,4,1,0.5,3,5,-2,8,3,1.5,4.07,3.984,0.086,1.022,4.07,3.984,4.027,2.035,6.108,8.608,-2.5,0.71,8.608,6.108,7.358,3.054,12,6,6,0.5,0.5,0.5,0.5,0.5,0.986,0.868,0.986,0.868,0.927,1.663,1.434,1.16,0.229,1.548,0.832,1.712,1.59,1.077,0.122,1.651,0.856,1.62,2.05,-0.43,0.79,2.05,1.62,1.835,0.81,1.69,2.14,-0.45,0.79,2.14,1.69,1.915,0.845,576.15,904.15,-328,0.637,904.15,576.15,740.15,288.075,11.9,6.69,5.21,1.779,11.9,6.69,9.295,5.95,0.13,0.21,-0.08,0.619,0.21,0.13,0.17,0.065,1.88,2.75,-0.87,0.684,2.75,1.88,2.315,0.94,28.5,38.3,-9.8,0.744,38.3,28.5,33.4,14.25
2,1,1,0.5,0.5,1,1,1,137.327,4.283,105.261,6,3,2,16,-14,9,88,-79,2,6,-4,8,2,1,0,2,-2,2,0,0,2,6,-4,8,2,1,3.712,2.617,1.095,1.418,3.712,2.617,3.165,1.856,5.212,10.36,-5.148,0.503,10.36,5.212,7.786,2.606,14,2,12,0.571,0.5,0.571,0.5,0.536,0.866,0.999,0.999,0.866,0.932,1.994,1.074,1.857,0.92,1.534,0.997,2.215,1.27,1.744,0.945,1.742,1.108,0.89,2.58,-1.69,0.345,2.58,0.89,1.735,0.445,1.08,2.65,-1.57,0.408,2.65,1.08,1.865,0.54,998.15,385.95,612.2,2.586,998.15,385.95,692.05,499.075,3.5,2.07,1.43,1.691,3.5,2.07,2.785,1.75,0.204,0.71,-0.506,0.287,0.71,0.204,0.457,0.102,1.9,2.85,-0.95,0.667,2.85,1.9,2.375,0.95,10.2,7.7,2.5,1.325,10.2,7.7,8.95,5.1
2,1,1,0.5,0.5,1,1,1,137.327,1.076,9.727,6,5,2,16,-14,9,90,-81,2,16,-14,18,2,1,0,2,-2,2,0,0,2,6,-4,8,2,1,3.712,4.067,-0.355,0.913,4.067,3.712,3.89,1.856,5.212,9.01,-3.798,0.578,9.01,5.212,7.111,2.606,14,2,12,0.571,1,1,0.571,0.786,0.866,1,1,0.866,0.933,1.994,1.417,1.407,0.577,1.706,0.997,2.215,1.6,1.384,0.615,1.908,1.108,0.89,2.1,-1.21,0.424,2.1,0.89,1.495,0.445,1.08,2.38,-1.3,0.454,2.38,1.08,1.73,0.54,998.15,722.65,275.5,1.381,998.15,722.65,860.4,499.075,3.5,6.24,-2.74,0.561,6.24,3.5,4.87,1.75,0.204,0.2,0.004,1.02,0.204,0.2,0.202,0.102,1.9,2.19,-0.29,0.868,2.19,1.9,2.045,0.95,10.2,65,-54.8,0.157,65,10.2,37.6,5.1
2,1,1,0.5,0.5,1,1,1,92.906,7.735,80.895,5,2,5,14,-9,47,77,-30,5,4,1,9,5,2.5,3,2,1,5,3,1.5,3,4,-1,7,3,1.5,3.523,1.819,1.704,1.936,3.523,1.819,2.671,1.762,6.759,11.26,-4.501,0.6,11.26,6.759,9.01,3.379,14,3,11,0.571,1,1,0.571,0.786,0.866,1,1,0.866,0.933,1.426,0.76,1.876,0.666,1.093,0.713,1.456,0.914,1.593,0.542,1.185,0.728,1.6,2.55,-0.95,0.627,2.55,1.6,2.075,0.8,2.03,2.37,-0.34,0.857,2.37,2.03,2.2,1.015,2741.15,3640.15,-899,0.753,3640.15,2741.15,3190.65,1370.575,8.57,2.25,6.32,3.809,8.57,2.25,5.41,4.285,0.26,0.71,-0.45,0.366,0.71,0.26,0.485,0.13,7.57,7.37,0.2,1.027,7.57,7.37,7.47,3.785,170,443,-273,0.384,443,170,306.5,85
2,1,1,0.5,0.5,1,1,1,180.948,15.065,168.937,6,2,5,14,-9,48,77,-29,19,4,15,23,19,9.5,3,2,1,5,3,1.5,3,4,-1,7,3,1.5,4.593,1.819,2.774,2.525,4.593,1.819,3.206,2.296,7.55,11.26,-3.711,0.67,11.26,7.55,9.405,3.775,14,3,11,0.571,1,1,0.571,0.786,0.866,1,1,0.866,0.933,1.43,0.76,1.882,0.67,1.095,0.715,1.457,0.914,1.594,0.543,1.186,0.728,1.5,2.55,-1.05,0.588,2.55,1.5,2.025,0.75,1.94,2.37,-0.43,0.819,2.37,1.94,2.155,0.97,3269.15,3640.15,-371,0.898,3640.15,3269.15,3454.65,1634.575,16.6,2.25,14.35,7.378,16.6,2.25,9.425,8.3,0.14,0.71,-0.57,0.197,0.71,0.14,0.425,0.07,8.1,7.37,0.73,1.099,8.1,7.37,7.735,4.05,196,443,-247,0.442,443,196,319.5,98
2,1,1,0.5,0.5,1,1,1,47.867,3.985,35.856,4,2,4,14,-10,43,77,-34,4,4,0,8,4,2,2,2,0,4,2,1,2,4,-2,6,2,1,2.833,1.819,1.014,1.557,2.833,1.819,2.326,1.416,6.828,11.26,-4.432,0.606,11.26,6.828,9.044,3.414,12,3,9,0.5,1,1,0.5,0.75,0.977,1,1,0.977,0.988,1.406,0.76,1.85,0.646,1.083,0.703,1.467,0.914,1.605,0.553,1.19,0.734,1.54,2.55,-1.01,0.604,2.55,1.54,2.045,0.77,1.86,2.37,-0.51,0.785,2.37,1.86,2.115,0.93,1933.15,3640.15,-1707,0.531,3640.15,1933.15,2786.65,966.575,4.54,2.25,2.29,2.018,4.54,2.25,3.395,2.27,0.52,0.71,-0.19,0.732,0.71,0.52,0.615,0.26,4.85,7.37,-2.52,0.658,7.37,4.85,6.11,2.425,108,443,-335,0.244,443,108,275.5,54
2,1,1,0.5,0.5,1,1,1,50.942,4.241,38.93,4,2,5,14,-9,46,77,-31,5,4,1,9,5,2.5,3,2,1,5,3,1.5,3,4,-1,7,3,1.5,2.816,1.819,0.997,1.548,2.816,1.819,2.318,1.408,6.746,11.26,-4.514,0.599,11.26,6.746,9.003,3.373,14,3,11,0.571,1,1,0.571,0.786,0.866,1,1,0.866,0.933,1.307,0.76,1.72,0.547,1.034,0.654,1.338,0.914,1.464,0.424,1.126,0.669,1.63,2.55,-0.92,0.639,2.55,1.63,2.09,0.815,2.22,2.37,-0.15,0.937,2.37,2.22,2.295,1.11,2163.15,3640.15,-1477,0.594,3640.15,2163.15,2901.65,1081.575,6.11,2.25,3.86,2.716,6.11,2.25,4.18,3.055,0.49,0.71,-0.22,0.69,0.71,0.49,0.6,0.245,5.31,7.37,-2.06,0.72,7.37,5.31,6.34,2.655,158,443,-285,0.357,443,158,300.5,79
2,1,1,0.5,0.5,1,1,1,91.224,7.595,79.213,5,2,4,14,-10,44,77,-33,4,4,0,8,4,2,2,2,0,4,2,1,2,4,-2,6,2,1,3.401,1.819,1.582,1.869,3.401,1.819,2.61,1.7,6.634,11.26,-4.626,0.589,11.26,6.634,8.947,3.317,12,3,9,0.5,1,1,0.5,0.75,0.983,1,1,0.983,0.992,1.553,0.76,2.043,0.793,1.156,0.776,1.597,0.914,1.747,0.683,1.256,0.798,1.33,2.55,-1.22,0.522,2.55,1.33,1.94,0.665,1.7,2.37,-0.67,0.717,2.37,1.7,2.035,0.85,2125.15,3640.15,-1515,0.584,3640.15,2125.15,2882.65,1062.575,6.51,2.25,4.26,2.893,6.51,2.25,4.38,3.255,0.27,0.71,-0.44,0.38,0.71,0.27,0.49,0.135,6.25,7.37,-1.12,0.848,7.37,6.25,6.81,3.125,89.8,443,-353.2,0.203,443,89.8,266.4,44.9
2,1,1,0.5,0.5,1,1,1,40.078,1.25,8.012,4,3,2,16,-14,7,88,-81,2,6,-4,8,2,1,0,2,-2,2,0,0,2,6,-4,8,2,1,2.68,2.617,0.063,1.024,2.68,2.617,2.649,1.34,6.113,10.36,-4.247,0.59,10.36,6.113,8.237,3.057,12,2,10,0.833,0.5,0.833,0.5,0.667,1,0.999,1,0.999,0.999,1.716,1.074,1.598,0.642,1.395,0.858,1.97,1.27,1.551,0.7,1.62,0.985,1,2.58,-1.58,0.388,2.58,1,1.79,0.5,1.17,2.65,-1.48,0.442,2.65,1.17,1.91,0.585,1112.15,385.95,726.2,2.882,1112.15,385.95,749.05,556.075,1.55,2.07,-0.52,0.749,2.07,1.55,1.81,0.775,0.63,0.71,-0.08,0.887,0.71,0.63,0.67,0.315,1.84,2.85,-1.01,0.646,2.85,1.84,2.345,0.92,17.2,7.7,9.5,2.234,17.2,7.7,12.45,8.6
2,1,1,0.5,0.5,1,1,1,40.078,0.508,-38.893,4,4,2,16,-14,7,89,-82,2,16,-14,18,2,1,0,2,-2,2,0,0,2,6,-4,8,2,1,2.68,3.385,-0.705,0.792,3.385,2.68,3.032,1.34,6.113,9.752,-3.639,0.627,9.752,6.113,7.933,3.057,12,2,10,0.833,1,1,0.833,0.917,1,1,1,1,1,1.716,1.237,1.387,0.479,1.477,0.858,1.97,1.4,1.407,0.57,1.685,0.985,1,2.55,-1.55,0.392,2.55,1,1.775,0.5,1.17,2.54,-1.37,0.461,2.54,1.17,1.855,0.585,1112.15,490.15,622,2.269,1112.15,490.15,801.15,556.075,1.55,4.79,-3.24,0.324,4.79,1.55,3.17,0.775,0.63,0.32,0.31,1.969,0.63,0.32,0.475,0.315,1.84,2.46,-0.62,0.748,2.46,1.84,2.15,0.92,17.2,8.3,8.9,2.072,17.2,8.3,12.75,8.6
2,1,1,0.5,0.5,1,1,1,40.078,0.314,-87.522,4,5,2,16,-14,7,90,-83,2,16,-14,18,2,1,0,2,-2,2,0,0,2,6,-4,8,2,1,2.68,4.067,-1.387,0.659,4.067,2.68,3.374,1.34,6.113,9.01,-2.896,0.679,9.01,6.113,7.561,3.057,12,2,10,0.833,1,1,0.833,0.917,1,1,1,1,1,1.716,1.417,1.211,0.299,1.566,0.858,1.97,1.6,1.231,0.37,1.785,0.985,1,2.1,-1.1,0.476,2.1,1,1.55,0.5,1.17,2.38,-1.21,0.492,2.38,1.17,1.775,0.585,1112.15,722.65,389.5,1.539,1112.15,722.65,917.4,556.075,1.55,6.24,-4.69,0.248,6.24,1.55,3.895,0.775,0.63,0.2,0.43,3.15,0.63,0.2,0.415,0.315,1.84,2.19,-0.35,0.84,2.19,1.84,2.015,0.92,17.2,65,-47.8,0.265,65,17.2,41.1,8.6
2,1,1,0.5,0.5,1,1,1,24.305,0.758,-7.761,3,3,2,16,-14,68,88,-20,2,6,-4,8,2,1,0,2,-2,2,0,0,2,6,-4,8,2,1,2.248,2.617,-0.369,0.859,2.617,2.248,2.432,1.124,7.646,10.36,-2.714,0.738,10.36,7.646,9.003,3.823,12,2,10,0.417,0.5,0.5,0.417,0.458,0.995,0.999,0.999,0.995,0.997,1.587,1.074,1.478,0.513,1.33,0.794,1.598,1.27,1.258,0.328,1.434,0.799,1.31,2.58,-1.27,0.508,2.58,1.31,1.945,0.655,1.31,2.65,-1.34,0.494,2.65,1.31,1.98,0.655,922.15,385.95,536.2,2.389,922.15,385.95,654.05,461.075,1.74,2.07,-0.33,0.841,2.07,1.74,1.905,0.87,1.02,0.71,0.31,1.437,1.02,0.71,0.865,0.51,1.51,2.85,-1.34,0.53,2.85,1.51,2.18,0.755,35.6,7.7,27.9,4.623,35.6,7.7,21.65,17.8
2,1,1,0.5,0.5,1,1,1,24.305,0.308,-54.666,3,4,2,16,-14,68,89,-21,2,16,-14,18,2,1,0,2,-2,2,0,0,2,6,-4,8,2,1,2.248,3.385,-1.137,0.664,3.385,2.248,2.816,1.124,7.646,9.752,-2.106,0.784,9.752,7.646,8.699,3.823,12,2,10,0.417,1,1,0.417,0.708,0.995,1,1,0.995,0.998,1.587,1.237,1.283,0.35,1.412,0.794,1.598,1.4,1.141,0.198,1.499,0.799,1.31,2.55,-1.24,0.514,2.55,1.31,1.93,0.655,1.31,2.54,-1.23,0.516,2.54,1.31,1.925,0.655,922.15,490.15,432,1.881,922.15,490.15,706.15,461.075,1.74,4.79,-3.05,0.363,4.79,1.74,3.265,0.87,1.02,0.32,0.7,3.188,1.02,0.32,0.67,0.51,1.51,2.46,-0.95,0.614,2.46,1.51,1.985,0.755,35.6,8.3,27.3,4.289,35.6,8.3,21.95,17.8
