Class,index_A,index_B,index_A_norm,index_B_norm,index_max,index_min,index_avg,atomic_weight_A+B_weighted,atomic_weight_A/B,atomic_weight_A-B,period_A,period_B,group_A,group_B,group_A-B,Mendeleev_number_A,Mendeleev_number_B,Mendeleev_number_A-B,valencee_total_A,valencee_total_B,valencee_total_A-B,valencee_total_A+B,valencee_total_A+B_weighted,valencee_total_A+B_weighted_norm,unpaired_electrons_A,unpaired_electrons_B,unpaired_electrons_A-B,unpaired_electrons_A+B,unpaired_electrons_A+B_weighted,unpaired_electrons_A+B_weighted_norm,Gilman_A,Gilman_B,Gilman_A-B,Gilman_A+B,Gilman_A+B_weighted,Gilman_A+B_weighted_norm,Z_eff_A,Z_eff_B,Z_eff_A-B,Z_eff_A/B,Z_eff_max,Z_eff_min,Z_eff_avg,Z_eff_A+B_weighted_norm,ionization_energy_A,ionization_energy_B,ionization_energy_A-B,ionization_energy_A/B,ionization_energy_max,ionization_energy_min,ionization_energy_avg,ionization_energy_A+B_weighted_norm,coordination_number_A,coordination_number_B,coordination_number_A-B,ratio_closest_A,ratio_closest_B,ratio_closest_max,ratio_closest_min,ratio_closest_avg,polyhedron_distortion_A,polyhedron_distortion_B,polyhedron_distortion_max,polyhedron_distortion_min,polyhedron_distortion_avg,CIF_radius_A,CIF_radius_B,CIF_radius_A-B,CIF_radius_A/B,CIF_radius_avg,CIF_radius_A+B_weighted_norm,Pauling_radius_CN12_A,Pauling_radius_CN12_B,Pauling_radius_CN12_A-B,Pauling_radius_CN12_A/B,Pauling_radius_CN12_avg,Pauling_radius_CN12_A+B_weighted_norm,Pauling_EN_A,Pauling_EN_B,Pauling_EN_A-B,Pauling_EN_A/B,Pauling_EN_max,Pauling_EN_min,Pauling_EN_avg,Pauling_EN_A+B_weighted_norm,Martynov_Batsanov_EN_A,Martynov_Batsanov_EN_B,Martynov_Batsanov_EN_A-B,Martynov_Batsanov_EN_A/B,Martynov_Batsanov_EN_max,Martynov_Batsanov_EN_min,Martynov_Batsanov_EN_avg,Martynov_Batsanov_EN_A+B_weighted_norm,melting_point_K_A,melting_point_K_B,melting_point_K_A-B,melting_point_K_A/B,melting_point_K_max,melting_point_K_min,melting_point_K_avg,melting_point_K_A+B_weighted_norm,density_A,density_B,density_A-B,density_A/B,density_max,density_min,density_avg,density_A+B_weighted_norm,specific_heat_A,specific_heat_B,specific_heat_A-B,specific_heat_A/B,specific_heat_max,specific_heat_min,specific_heat_avg,specific_heat_A+B_weighted_norm,cohesive_energy_A,cohesive_energy_B,cohesive_energy_A-B,cohesive_energy_A/B,cohesive_energy_max,cohesive_energy_min,cohesive_energy_avg,cohesive_energy_A+B_weighted_norm,bulk_modulus_A,bulk_modulus_B,bulk_modulus_A-B,bulk_modulus_A/B,bulk_modulus_max,bulk_modulus_min,bulk_modulus_avg,bulk_modulus_A+B_weighted_norm
NaCl,1,1,0.5,0.5,1,1,1,133.90905,0.69567373,-24.03295,4,4,7,16,-9,52,89,-37,7,16,-9,23,23,11.5,5,2,3,7,7,3.5,5,6,-1,11,11,5.5,2.956,3.385,-0.429,0.8732644,3.385,2.956,3.1705,3.1705,7.434,9.7524,-2.3184,0.7622739,9.7524,7.434,8.5932,8.5932,12,2,10,0.08333333,1,1,0.08333333,0.54166667,0.961,1,1,0.961,0.9805,1.164,1.237,-0.073,0.94098626,1.2005,1.2005,1.306,1.4,-0.094,0.93285714,1.353,1.2005,1.55,2.55,-1,0.60784314,2.55,1.55,2.05,2.05,2.04,2.54,-0.5,0.80314961,2.54,2.04,2.29,2.29,1517.15,490.15,1027,3.09527696,1517.15,490.15,1003.65,1003.65,7.43,4.79,2.64,1.55114823,7.43,4.79,6.11,6.11,0.48,0.32,0.16,1.5,0.48,0.32,0.4,0.4,2.92,2.46,0.46,1.18699187,2.92,2.46,2.69,2.69,92.6,8.3,84.3,11.1566265,92.6,8.3,50.45,50.45
NaCl,1,1,0.5,0.5,1,1,1,239.266,6.4616728,175.134,6,3,14,16,-2,81,88,-7,28,6,22,34,34,17,2,2,0,4,4,2,4,6,-2,10,10,5,4.426,2.617,1.809,1.69124952,4.426,2.617,3.5215,3.5215,7.4167,10.36,-2.9433,0.71589768,10.36,7.4167,8.88835,8.88835,12,2,10,1,0.5,1,0.5,0.75,1,0.99853516,1,0.99853516,0.99926758,1.725,1.074,0.651,1.60614525,1.3995,1.3995,1.746,1.27,0.476,1.37480315,1.508,1.3995,1.87,2.58,-0.71,0.7248062,2.58,1.87,2.225,2.225,1.92,2.65,-0.73,0.7245283,2.65,1.92,2.285,2.285,600.65,385.95,214.7,1.55628967,600.65,385.95,493.3,493.3,11.4,2.07,9.33,5.50724638,11.4,2.07,6.735,6.735,0.13,0.71,-0.58,0.18309859,0.71,0.13,0.42,0.42,2.03,2.85,-0.82,0.7122807,2.85,2.03,2.44,2.44,45.8,7.7,38.1,5.94805195,45.8,7.7,26.75,26.75
NaCl,1,1,0.5,0.5,1,1,1,286.171,2.62374796,128.229,6,4,14,16,-2,81,89,-8,28,16,12,44,44,22,2,2,0,4,4,2,4,6,-2,10,10,5,4.426,3.385,1.041,1.30753323,4.426,3.385,3.9055,3.9055,7.4167,9.7524,-2.3357,0.76049998,9.7524,7.4167,8.58455,8.58455,12,2,10,1,1,1,1,1,1,1,1,1,1,1.725,1.237,0.488,1.39450283,1.481,1.481,1.746,1.4,0.346,1.24714286,1.573,1.481,1.87,2.55,-0.68,0.73333333,2.55,1.87,2.21,2.21,1.92,2.54,-0.62,0.75590551,2.54,1.92,2.23,2.23,600.65,490.15,110.5,1.22544119,600.65,490.15,545.4,545.4,11.4,4.79,6.61,2.37995825,11.4,4.79,8.095,8.095,0.13,0.32,-0.19,0.40625,0.32,0.13,0.225,0.225,2.03,2.46,-0.43,0.82520325,2.46,2.03,2.245,2.245,45.8,8.3,37.5,5.51807229,45.8,8.3,27.05,27.05
NaCl,1,1,0.5,0.5,1,1,1,334.8,1.62382445,79.6,6,5,14,16,-2,81,90,-9,28,16,12,44,44,22,2,2,0,4,4,2,4,6,-2,10,10,5,4.426,4.067,0.359,1.08827145,4.426,4.067,4.2465,4.2465,7.4167,9.0096,-1.5929,0.8231997,9.0096,7.4167,8.21315,8.21315,12,2,10,1,1,1,1,1,1,1,1,1,1,1.725,1.417,0.308,1.21736062,1.571,1.571,1.746,1.6,0.146,1.09125,1.673,1.571,1.87,2.1,-0.23,0.89047619,2.1,1.87,1.985,1.985,1.92,2.38,-0.46,0.80672269,2.38,1.92,2.15,2.15,600.65,722.65,-122,0.83117692,722.65,600.65,661.65,661.65,11.4,6.24,5.16,1.82692308,11.4,6.24,8.82,8.82,0.13,0.2,-0.07,0.65,0.2,0.13,0.165,0.165,2.03,2.19,-0.16,0.92694064,2.19,2.03,2.11,2.11,45.8,65,-19.2,0.70461538,65,45.8,55.4,55.4
NaCl,1,1,0.5,0.5,1,1,1,119.686,2.73248924,55.554,5,3,2,16,-14,8,88,-80,2,6,-4,8,8,4,0,2,-2,2,2,1,2,6,-4,8,8,4,3.234,2.617,0.617,1.23576614,3.234,2.617,2.9255,2.9255,5.6949,10.36,-4.6651,0.54970077,10.36,5.6949,8.02745,8.02745,12,2,10,1,0.5,1,0.5,0.75,1,0.99853516,1,0.99853516,0.99926758,1.417,1.074,0.343,1.31936685,1.2455,1.2455,2.148,1.27,0.878,1.69133858,1.709,1.2455,0.95,2.58,-1.63,0.36821705,2.58,0.95,1.765,1.765,1.13,2.65,-1.52,0.42641509,2.65,1.13,1.89,1.89,1042.15,385.95,656.2,2.70022024,1042.15,385.95,714.05,714.05,2.63,2.07,0.56,1.2705314,2.63,2.07,2.35,2.35,0.3,0.71,-0.41,0.42253521,0.71,0.3,0.505,0.505,1.72,2.85,-1.13,0.60350877,2.85,1.72,2.285,2.285,12,7.7,4.3,1.55844156,12,7.7,9.85,9.85
NaCl,1,1,0.5,0.5,1,1,1,246.31,0.93032915,-8.89,5,5,14,16,-2,80,90,-10,14,16,-2,30,30,15,2,2,0,4,4,2,4,6,-2,10,10,5,3.672,4.067,-0.395,0.90287681,4.067,3.672,3.8695,3.8695,7.3439,9.0096,-1.6657,0.81511943,9.0096,7.3439,8.17675,8.17675,6,2,4,0.66666667,1,1,0.66666667,0.83333333,0.949,1,1,0.949,0.9745,1.511,1.417,0.094,1.06633733,1.464,1.464,1.62,1.6,0.02,1.0125,1.61,1.464,1.96,2.1,-0.14,0.93333333,2.1,1.96,2.03,2.03,1.88,2.38,-0.5,0.78991597,2.38,1.88,2.13,2.13,505.15,722.65,-217.5,0.69902442,722.65,505.15,613.9,613.9,7.31,6.24,1.07,1.17147436,7.31,6.24,6.775,6.775,0.227,0.2,0.027,1.135,0.227,0.2,0.2135,0.2135,3.14,2.19,0.95,1.43378995,3.14,2.19,2.665,2.665,58.2,65,-6.8,0.89538462,65,58.2,61.6,61.6
NaCl,1,1,0.5,0.5,1,1,1,215.22,0.68667712,-39.98,5,5,2,16,-14,8,90,-82,2,16,-14,18,18,9,0,2,-2,2,2,1,2,6,-4,8,8,4,3.234,4.067,-0.833,0.79518072,4.067,3.234,3.6505,3.6505,5.6949,9.0096,-3.3147,0.63209243,9.0096,5.6949,7.35225,7.35225,12,2,10,1,1,1,1,1,1,1,1,1,1,1.417,1.417,0,1,1.417,1.417,2.148,1.6,0.548,1.3425,1.874,1.417,0.95,2.1,-1.15,0.45238095,2.1,0.95,1.525,1.525,1.13,2.38,-1.25,0.47478992,2.38,1.13,1.755,1.755,1042.15,722.65,319.5,1.44212274,1042.15,722.65,882.4,882.4,2.63,6.24,-3.61,0.42147436,6.24,2.63,4.435,4.435,0.3,0.2,0.1,1.5,0.3,0.2,0.25,0.25,1.72,2.19,-0.47,0.78538813,2.19,1.72,1.955,1.955,12,65,-53,0.18461538,65,12,38.5,38.5
ZnS,1,1,0.5,0.5,1,1,1,101.903129,0.36013036,-47.940051,3,4,13,15,-2,73,84,-11,3,15,-12,18,18,9,1,3,-2,4,4,2,3,5,-2,8,8,4,1.989,3.396,-1.407,0.58568905,3.396,1.989,2.6925,2.6925,5.9858,9.7886,-3.8028,0.61150726,9.7886,5.9858,7.8872,7.8872,12,6,6,1,0.5,1,0.5,0.75,1,0.807,1,0.807,0.9035,1.31,1.247,0.063,1.05052125,1.2785,1.2785,1.429,1.39,0.039,1.02805755,1.4095,1.2785,1.61,2.18,-0.57,0.73853211,2.18,1.61,1.895,1.895,1.64,2.27,-0.63,0.72246696,2.27,1.64,1.955,1.955,933.15,1090.15,-157,0.85598312,1090.15,933.15,1011.65,1011.65,2.7,5.73,-3.03,0.47120419,5.73,2.7,4.215,4.215,0.9,0.33,0.57,2.72727273,0.9,0.33,0.615,0.615,3.39,2.96,0.43,1.14527027,3.39,2.96,3.175,3.175,75.2,38.3,36.9,1.96344648,75.2,38.3,56.75,56.75
ZnS,1,1,0.5,0.5,1,1,1,57.955301,0.87110952,-3.992223,3,3,13,15,-2,73,83,-10,3,5,-2,8,8,4,1,3,-2,4,4,2,3,5,-2,8,8,4,1.989,3.412,-1.423,0.58294256,3.412,1.989,2.7005,2.7005,5.9858,10.4867,-4.5009,0.5707992,10.4867,5.9858,8.23625,8.23625,12,3,9,1,0.33333333,1,0.33333333,0.66666667,1,0.998,1,0.998,0.999,1.31,1.123,0.187,1.16651825,1.2165,1.2165,1.429,1.28,0.149,1.11640625,1.3545,1.2165,1.61,2.19,-0.58,0.73515982,2.19,1.61,1.9,1.9,1.64,2.32,-0.68,0.70689655,2.32,1.64,1.98,1.98,933.15,317.25,615.9,2.94137116,933.15,317.25,625.2,625.2,2.7,1.82,0.88,1.48351648,2.7,1.82,2.26,2.26,0.9,0.77,0.13,1.16883117,0.9,0.77,0.835,0.835,3.39,3.43,-0.04,0.98833819,3.43,3.39,3.41,3.41,75.2,30.4,44.8,2.47368421,75.2,30.4,52.8,52.8
ZnS,1,1,0.5,0.5,1,1,1,144.64459,0.93061292,-5.19859,4,4,13,15,-2,74,84,-10,13,15,-2,28,28,14,1,3,-2,4,4,2,3,5,-2,8,8,4,2.655,3.396,-0.741,0.78180212,3.396,2.655,3.0255,3.0255,5.9993,9.7886,-3.7893,0.61288642,9.7886,5.9993,7.89395,7.89395,7,6,1,0.14285714,0.5,0.5,0.14285714,0.32142857,0.897,0.807,0.897,0.807,0.852,1.243,1.247,-0.004,0.9967923,1.245,1.245,1.408,1.39,0.018,1.01294964,1.399,1.245,1.81,2.18,-0.37,0.83027523,2.18,1.81,1.995,1.995,1.7,2.27,-0.57,0.74889868,2.27,1.7,1.985,1.985,302.95,1090.15,-787.2,0.27789754,1090.15,302.95,696.55,696.55,5.9,5.73,0.17,1.02966841,5.9,5.73,5.815,5.815,0.37,0.33,0.04,1.12121212,0.37,0.33,0.35,0.35,2.81,2.96,-0.15,0.94932432,2.96,2.81,2.885,2.885,56.9,38.3,18.6,1.48563969,56.9,38.3,47.6,47.6
ZnS,1,1,0.5,0.5,1,1,1,87.98318,0.11412012,-69.95882,2,4,2,16,-14,67,89,-22,2,16,-14,18,18,9,0,2,-2,2,2,1,2,6,-4,8,8,4,1.656,3.385,-1.729,0.48921713,3.385,1.656,2.5205,2.5205,9.3227,9.7524,-0.4297,0.95593905,9.7524,9.3227,9.53755,9.53755,12,2,10,0.5,1,1,0.5,0.75,0.974,1,1,0.974,0.987,1.072,1.237,-0.165,0.86661277,1.1545,1.1545,1.123,1.4,-0.277,0.80214286,1.2615,1.1545,1.57,2.55,-0.98,0.61568627,2.55,1.57,2.06,2.06,1.45,2.54,-1.09,0.57086614,2.54,1.45,1.995,1.995,1551.15,490.15,1061,3.16464348,1551.15,490.15,1020.65,1020.65,1.85,4.79,-2.94,0.38622129,4.79,1.85,3.32,3.32,1.82,0.32,1.5,5.6875,1.82,0.32,1.07,1.07,3.32,2.46,0.86,1.3495935,3.32,2.46,2.89,2.89,110,8.3,101.7,13.253012,110,8.3,59.15,59.15
ZnS,1,1,0.5,0.5,1,1,1,136.61218,0.07062837,-118.58782,2,5,2,16,-14,67,90,-23,2,16,-14,18,18,9,0,2,-2,2,2,1,2,6,-4,8,8,4,1.656,4.067,-2.411,0.40717974,4.067,1.656,2.8615,2.8615,9.3227,9.0096,0.3131,1.03475182,9.3227,9.0096,9.16615,9.16615,12,2,10,0.5,1,1,0.5,0.75,0.974,1,1,0.974,0.987,1.072,1.417,-0.345,0.75652788,1.2445,1.2445,1.123,1.6,-0.477,0.701875,1.3615,1.2445,1.57,2.1,-0.53,0.74761905,2.1,1.57,1.835,1.835,1.45,2.38,-0.93,0.6092437,2.38,1.45,1.915,1.915,1551.15,722.65,828.5,2.14647478,1551.15,722.65,1136.9,1136.9,1.85,6.24,-4.39,0.29647436,6.24,1.85,4.045,4.045,1.82,0.2,1.62,9.1,1.82,0.2,1.01,1.01,3.32,2.19,1.13,1.51598174,3.32,2.19,2.755,2.755,110,65,45,1.69230769,110,65,87.5,87.5
ZnS,1,1,0.5,0.5,1,1,1,144.477,3.50561342,80.345,5,3,12,16,-4,70,88,-18,12,6,6,18,18,9,0,2,-2,2,2,1,1,6,-5,7,7,3.5,4.064,2.617,1.447,1.55292319,4.064,2.617,3.3405,3.3405,8.9938,10.36,-1.3662,0.86812741,10.36,8.9938,9.6769,9.6769,12,2,10,0.5,0.5,0.5,0.5,0.5,0.903,0.99853516,0.99853516,0.903,0.95076758,1.49,1.074,0.416,1.38733706,1.282,1.282,1.543,1.27,0.273,1.21496063,1.4065,1.282,1.69,2.58,-0.89,0.65503876,2.58,1.69,2.135,2.135,1.4,2.65,-1.25,0.52830189,2.65,1.4,2.025,2.025,594.05,385.95,208.1,1.53918901,594.05,385.95,490,490,8.65,2.07,6.58,4.17874396,8.65,2.07,5.36,5.36,0.23,0.71,-0.48,0.32394366,0.71,0.23,0.47,0.47,1.16,2.85,-1.69,0.40701754,2.85,1.16,2.005,2.005,51,7.7,43.3,6.62337662,51,7.7,29.35,29.35
ZnS,1,1,0.5,0.5,1,1,1,240.011,0.88096395,-15.189,5,5,12,16,-4,70,90,-20,12,16,-4,28,28,14,0,2,-2,2,2,1,1,6,-5,7,7,3.5,4.064,4.067,-0.003,0.99926236,4.067,4.064,4.0655,4.0655,8.9938,9.0096,-0.0158,0.99824632,9.0096,8.9938,9.0017,9.0017,12,2,10,0.5,1,1,0.5,0.75,0.903,1,1,0.903,0.9515,1.49,1.417,0.073,1.05151729,1.4535,1.4535,1.543,1.6,-0.057,0.964375,1.5715,1.4535,1.69,2.1,-0.41,0.8047619,2.1,1.69,1.895,1.895,1.4,2.38,-0.98,0.58823529,2.38,1.4,1.89,1.89,594.05,722.65,-128.6,0.82204387,722.65,594.05,658.35,658.35,8.65,6.24,2.41,1.38621795,8.65,6.24,7.445,7.445,0.23,0.2,0.03,1.15,0.23,0.2,0.215,0.215,1.16,2.19,-1.03,0.52968037,2.19,1.16,1.675,1.675,51,65,-14,0.78461538,65,51,58,58
ZnS,1,1,0.5,0.5,1,1,1,191.483,0.57262648,-52.037,4,5,13,15,-2,74,85,-11,13,15,-2,28,28,14,1,3,-2,4,4,2,3,5,-2,8,8,4,2.655,3.984,-1.329,0.66641566,3.984,2.655,3.3195,3.3195,5.9993,8.6084,-2.6091,0.69691232,8.6084,5.9993,7.30385,7.30385,7,6,1,0.14285714,0.5,0.5,0.14285714,0.32142857,0.897,0.868,0.897,0.868,0.8825,1.243,1.434,-0.191,0.86680614,1.3385,1.3385,1.408,1.59,-0.182,0.88553459,1.499,1.3385,1.81,2.05,-0.24,0.88292683,2.05,1.81,1.93,1.93,1.7,2.14,-0.44,0.79439252,2.14,1.7,1.92,1.92,302.95,904.15,-601.2,0.33506608,904.15,302.95,603.55,603.55,5.9,6.69,-0.79,0.8819133,6.69,5.9,6.295,6.295,0.37,0.21,0.16,1.76190476,0.37,0.21,0.29,0.29,2.81,2.75,0.06,1.02181818,2.81,2.75,2.78,2.78,56.9,38.3,18.6,1.48563969,56.9,38.3,47.6,47.6
ZnS,1,1,0.5,0.5,1,1,1,232.658,6.25559783,168.526,6,3,12,16,-4,71,88,-17,26,6,20,32,32,16,0,2,-2,2,2,1,1,6,-5,7,7,3.5,4.04,2.617,1.423,1.54375239,4.04,2.617,3.3285,3.3285,10.4375,10.36,0.0775,1.00748069,10.4375,10.36,10.39875,10.39875,0,2,-2,0,0.5,0.5,0,0.25,0,0.99853516,0.99853516,0,0.49926758,1.45,1.074,0.376,1.35009311,1.262,1.262,1.57,1.27,0.3,1.23622047,1.42,1.262,2,2.58,-0.58,0.7751938,2.58,2,2.29,2.29,1.49,2.65,-1.16,0.56226415,2.65,1.49,2.07,2.07,234.25,385.95,-151.7,0.6069439,385.95,234.25,310.1,310.1,13.5,2.07,11.43,6.52173913,13.5,2.07,7.785,7.785,0.139,0.71,-0.571,0.19577465,0.71,0.139,0.4245,0.4245,0.67,2.85,-2.18,0.23508772,2.85,0.67,1.76,1.76,38.2,7.7,30.5,4.96103896,38.2,7.7,22.95,22.95
ZnS,1,1,0.5,0.5,1,1,1,279.563,2.54007167,121.621,6,4,12,16,-4,71,89,-18,26,16,10,42,42,21,0,2,-2,2,2,1,1,6,-5,7,7,3.5,4.04,3.385,0.655,1.19350074,4.04,3.385,3.7125,3.7125,10.4375,9.7524,0.6851,1.07024937,10.4375,9.7524,10.09495,10.09495,0,2,-2,0,1,1,0,0.5,0,1,1,0,0.5,1.45,1.237,0.213,1.17219078,1.3435,1.3435,1.57,1.4,0.17,1.12142857,1.485,1.3435,2,2.55,-0.55,0.78431373,2.55,2,2.275,2.275,1.49,2.54,-1.05,0.58661417,2.54,1.49,2.015,2.015,234.25,490.15,-255.9,0.47791492,490.15,234.25,362.2,362.2,13.5,4.79,8.71,2.81837161,13.5,4.79,9.145,9.145,0.139,0.32,-0.181,0.434375,0.32,0.139,0.2295,0.2295,0.67,2.46,-1.79,0.27235772,2.46,0.67,1.565,1.565,38.2,8.3,29.9,4.60240964,38.2,8.3,23.25,23.25
ZnS,1,1,0.5,0.5,1,1,1,328.192,1.57203762,72.992,6,5,12,16,-4,71,90,-19,26,16,10,42,42,21,0,2,-2,2,2,1,1,6,-5,7,7,3.5,4.04,4.067,-0.027,0.9933612,4.067,4.04,4.0535,4.0535,10.4375,9.0096,1.4279,1.1584865,10.4375,9.0096,9.72355,9.72355,0,2,-2,0,1,1,0,0.5,0,1,1,0,0.5,1.45,1.417,0.033,1.02328864,1.4335,1.4335,1.57,1.6,-0.03,0.98125,1.585,1.4335,2,2.1,-0.1,0.95238095,2.1,2,2.05,2.05,1.49,2.38,-0.89,0.62605042,2.38,1.49,1.935,1.935,234.25,722.65,-488.4,0.32415415,722.65,234.25,478.45,478.45,13.5,6.24,7.26,2.16346154,13.5,6.24,9.87,9.87,0.139,0.2,-0.061,0.695,0.2,0.139,0.1695,0.1695,0.67,2.19,-1.52,0.30593607,2.19,0.67,1.43,1.43,38.2,65,-26.8,0.58769231,65,38.2,51.6,51.6
ZnS,1,1,0.5,0.5,1,1,1,236.578,0.9429862,-6.942,5,5,13,15,-2,75,85,-10,13,15,-2,28,28,14,1,3,-2,4,4,2,3,5,-2,8,8,4,3.259,3.984,-0.725,0.81802209,3.984,3.259,3.6215,3.6215,5.7864,8.6084,-2.822,0.67218066,8.6084,5.7864,7.1974,7.1974,12,6,6,0.33333333,0.5,0.5,0.33333333,0.41666667,0.962,0.868,0.962,0.868,0.915,1.624,1.434,0.19,1.13249651,1.529,1.529,1.66,1.59,0.07,1.04402516,1.625,1.529,1.78,2.05,-0.27,0.86829268,2.05,1.78,1.915,1.915,1.63,2.14,-0.51,0.76168224,2.14,1.63,1.885,1.885,429.75,904.15,-474.4,0.4753083,904.15,429.75,666.95,666.95,7.31,6.69,0.62,1.09267564,7.31,6.69,7,7,0.23,0.21,0.02,1.0952381,0.23,0.21,0.22,0.22,2.52,2.75,-0.23,0.91636364,2.75,2.52,2.635,2.635,41.1,38.3,2.8,1.07310705,41.1,38.3,39.7,39.7
ZnS,1,1,0.5,0.5,1,1,1,97.446,2.03891973,33.314,4,3,12,16,-4,69,88,-19,12,6,6,18,18,9,0,2,-2,2,2,1,1,6,-5,7,7,3.5,3.322,2.617,0.705,1.26939243,3.322,2.617,2.9695,2.9695,9.3942,10.36,-0.9658,0.90677606,10.36,9.3942,9.8771,9.8771,12,2,10,0.5,0.5,0.5,0.5,0.5,0.922,0.99853516,0.99853516,0.922,0.96026758,1.333,1.074,0.259,1.24115456,1.2035,1.2035,1.379,1.27,0.109,1.08582677,1.3245,1.2035,1.65,2.58,-0.93,0.63953488,2.58,1.65,2.115,2.115,1.44,2.65,-1.21,0.54339623,2.65,1.44,2.045,2.045,692.75,385.95,306.8,1.79492162,692.75,385.95,539.35,539.35,7.13,2.07,5.06,3.44444444,7.13,2.07,4.6,4.6,0.39,0.71,-0.32,0.54929577,0.71,0.39,0.55,0.55,1.35,2.85,-1.5,0.47368421,2.85,1.35,2.1,2.1,69.4,7.7,61.7,9.01298701,69.4,7.7,38.55,38.55
ZnS,1,1,0.5,0.5,1,1,1,144.351,0.82789885,-13.591,4,4,12,16,-4,69,89,-20,12,16,-4,28,28,14,0,2,-2,2,2,1,1,6,-5,7,7,3.5,3.322,3.385,-0.063,0.98138848,3.385,3.322,3.3535,3.3535,9.3942,9.7524,-0.3582,0.96327058,9.7524,9.3942,9.5733,9.5733,12,2,10,0.5,1,1,0.5,0.75,0.922,1,1,0.922,0.961,1.333,1.237,0.096,1.07760711,1.285,1.285,1.379,1.4,-0.021,0.985,1.3895,1.285,1.65,2.55,-0.9,0.64705882,2.55,1.65,2.1,2.1,1.44,2.54,-1.1,0.56692913,2.54,1.44,1.99,1.99,692.75,490.15,202.6,1.41334285,692.75,490.15,591.45,591.45,7.13,4.79,2.34,1.48851775,7.13,4.79,5.96,5.96,0.39,0.32,0.07,1.21875,0.39,0.32,0.355,0.355,1.35,2.46,-1.11,0.54878049,2.46,1.35,1.905,1.905,69.4,8.3,61.1,8.36144578,69.4,8.3,38.85,38.85
ZnS,1,1,0.5,0.5,1,1,1,192.98,0.51238245,-62.22,4,5,12,16,-4,69,90,-21,12,16,-4,28,28,14,0,2,-2,2,2,1,1,6,-5,7,7,3.5,3.322,4.067,-0.745,0.81681829,4.067,3.322,3.6945,3.6945,9.3942,9.0096,0.3846,1.0426878,9.3942,9.0096,9.2019,9.2019,12,2,10,0.5,1,1,0.5,0.75,0.922,1,1,0.922,0.961,1.333,1.417,-0.084,0.94071983,1.375,1.375,1.379,1.6,-0.221,0.861875,1.4895,1.375,1.65,2.1,-0.45,0.78571429,2.1,1.65,1.875,1.875,1.44,2.38,-0.94,0.60504202,2.38,1.44,1.91,1.91,692.75,722.65,-29.9,0.95862451,722.65,692.75,707.7,707.7,7.13,6.24,0.89,1.14262821,7.13,6.24,6.685,6.685,0.39,0.2,0.19,1.95,0.39,0.2,0.295,0.295,1.35,2.19,-0.84,0.61643836,2.19,1.35,1.77,1.77,69.4,65,4.4,1.06769231,69.4,65,67.2,67.2